character	reading	class	reference	encoding	usage
朦	bảng	【訓】	https://vdict.com/b%E1%BA%A3ng%20l%E1%BA%A3ng,2,0,0.html	U+6726	bảng lảng
蚌	bạng	【汉】		U+868C	bạng duật
榜	bảng	【汉】		U+699C	bảng nhãn, phó bảng, bảng đen, bảng thống kê, vòng đấu bảng
鎊	bảng	【汉】		U+938A	bảng Anh
捠	banh	【音】	https://en.wiktionary.org/wiki/banh#Etymology_2	U+6360	banh mắt, sáng banh
鞠	banh	【訓】	https://en.wiktionary.org/wiki/banh#Etymology_1	U+97A0	đá banh
槟	banh	【訓】	https://en.wiktionary.org/wiki/s%C3%A2m_banh	U+69DF	sâm banh
餅	bánh	【非】	https://en.wiktionary.org/wiki/b%C3%A1nh#Etymology_1	U+9905	bánh chưng, bánh mì, bánh xe, bánh lái
彭	bành	【音】	https://en.wiktionary.org/wiki/b%C3%A0nh#Etymology_1	U+5F6D	ghế bành
𥐴	bành	【音】	https://vi.wiktionary.org/wiki/tanh_b%C3%A0nh	U+25434	tanh bành
布	bành	【訓】	https://en.wiktionary.org/wiki/b%C3%A0nh_t%C3%B4	U+5E03	bành tô
彭	bành	【汉】		U+5F6D	họ Bành
膨	bành	【汉】		U+81A8	bành trướng, bành bành
炳	bảnh	【非】	https://en.wiktionary.org/wiki/b%E1%BA%A3nh	U+70B3	bảnh bao
	bao	【声】			bảnh bao
𢆻	bao	【訓】	https://en.wiktionary.org/wiki/bao#Etymology_2_4	U+221BB	bao nhiêu, bao giờ
包	bao	【汉】		U+5305	bao bọc, bao kiếm, bao hàm, bao dung
褒	bao	【汉】		U+8912	bao biếm
豹	báo	【汉】		U+8C79	báo săn, báo sư tử
报	báo	【汉】		U+62A5	báo chí, báo ân, báo thù, nhà báo, báo mộng, báo tin
刨	bào	【汉】		U+5228	bào gỗ, cái bào
泡	bào	【汉】		U+6CE1	bào ảnh
胞	bào	【汉】		U+80DE	bào thai, đồng bào, tế bào
炮	bào	【汉】		U+70AE	bào chế
袍	bào	【汉】		U+888D	áo bào
鮑	bào	【汉】		U+9B91	bào ngư
抱	bão	【汉】		U+62B1	hoài bão
暴	bão	【非】	https://en.wiktionary.org/wiki/b%C3%A3o#Vietnamese	U+66B4	gió bão, bão cát, dông bão, đau bão, bão táp
飽	bão	【汉】		U+98FD	bão hoà
保	bảo	【汉】		U+4FDD	bảo hộ, đảm bảo, bảo trì, bảo hành
报	bảo	【非】	https://en.wiktionary.org/wiki/b%E1%BA%A3o#Etymology_1	U+62A5	khuyên bảo, dạy bảo
宝	bảo	【汉】		U+5B9D	bảo vật, bảo kiếm, bảo tàng
暴	bạo	【汉】		U+66B4	bạo dạn, bạo miệng, cử chỉ rất bạo, bạo lực, thô bạo, bạo động, bạo hành, tàn bạo, bạo ngược
𣔟	bắp	【音】	https://en.wiktionary.org/wiki/b%E1%BA%AFp#Etymology_2	U+2351F	bắp chuối, bắp cải, bắp chân
趿	bấp	【音】	https://en.wiktionary.org/wiki/v%E1%BA%A5p#Etymology_1	U+8DBF	bấp bênh
潗	bập	【音】	https://en.wiktionary.org/wiki/b%E1%BA%ADp#Etymology_4	U+6F57	bập bẹ, nói lập bập
八	bát	【汉】		U+516B	thất bát, bát tiên, bát giác, bát sách, bát nháo, bát ngát
般	bát	【汉】		U+822C	Bát Nhã
鉢	bát	【汉】		U+9262	bát đĩa, bát cơm
泼	bát	【汉】		U+6CFC	hoạt bát
㳓	bát	【訓】	https://en.wiktionary.org/wiki/b%C3%A1t#Etymology_3_2	U+3CD3	cạy bát
	bát	【声】			bết bát
抔	bắt	【音】	https://en.wiktionary.org/wiki/b%E1%BA%AFt#Etymology	U+6294	bắt buộc, bắt chước, bắt mạch, bắt bớ, bắt gặp
不	bất	【汉】		U+4E0D	bất an, bất kì, bất chấp, bất thình lình
𢬌	bạt	【音】	https://en.wiktionary.org/wiki/b%E1%BA%A1t#Etymology_4	U+22B0C	bạt vía, bạt mạng, bạt tai
拔	bạt	【汉】		U+62D4	bạt núi ngăn sông, đề bạt, bạt kiếm
紱	bạt	【音】	https://en.wiktionary.org/wiki/b%E1%BA%A1t#Etymology_1	U+7D31	bạt tầu, bạt che, nhà bạt, lều bạt, vải bạt
跋	bạt	【汉】		U+8DCB	lang bạt, bạt thiệp, lời bạt
鈸	bạt	【汉】		U+9238	nạo bạt
銖	bạt	【訓】	https://en.wiktionary.org/wiki/b%E1%BA%A1t#Etymology_2	U+9296	đồng bạt
𠸢	bặt	【音】	https://vi.wiktionary.org/wiki/b%E1%BA%B7t	U+20E22	im bặt
弼	bật	【音】	https://en.wiktionary.org/wiki/b%E1%BA%ADt#Etymology	U+5F3C	bật lửa, bật đèn
宝	báu	【非】	https://en.wiktionary.org/wiki/b%C3%A1u#Etymology	U+5B9D	quý báu, báu vật, châu báu
萢	bàu	【音】	https://en.wiktionary.org/wiki/b%C3%A0u	U+8422	bàu sen
怉	bàu	【音】	https://en.wiktionary.org/wiki/l%C3%A0u_b%C3%A0u	U+6009	làu bàu
裒	bâu	【訓】	https://en.wiktionary.org/wiki/b%C3%A2u#Vietnamese	U+88D2	bâu vào, bâu áo
㨐	bấu	【音】	https://en.wiktionary.org/wiki/b%E1%BA%A5u#Etymology_2	U+3A10	bấu chí, bấu véo, bấu víu
保	bầu	【非】	https://en.wiktionary.org/wiki/b%E1%BA%A7u#Etymology_2	U+4FDD	bầu cử, bình bầu, đi bầu
匏	bầu	【非】	https://en.wiktionary.org/wiki/b%E1%BA%A7u#Etymology_1	U+530F	bầu trời, đàn bầu, có bầu, bầu dục, bầu bí, bầu không khí
廍	bậu	【音】	https://en.wiktionary.org/wiki/b%E1%BA%ADu#Etymology_2	U+5ECD	bậu cửa
汝	bậu	【訓】	https://en.wiktionary.org/wiki/b%E1%BA%ADu#Etymology_1	U+6C5D	bậu đi cùng qua
飞	bay	【訓】	https://en.wiktionary.org/wiki/bay#Etymology_1_4	U+98DE	máy bay, bay bướm, bay lượn
𠎩	bay	【音】	https://en.wiktionary.org/wiki/bay#Etymology_3_2	U+203A9	chúng bay
𨭍	bay	【音】	https://en.wiktionary.org/wiki/bay#Etymology_2_4	U+28B4D	cái bay
排	bày	【非】	https://en.wiktionary.org/wiki/b%C3%A0y	U+6392	trình bày, giãi bày, trưng bày
𠎩	bây	【音】	https://en.wiktionary.org/wiki/b%C3%A2y#Etymology_1	U+203A9	[=bay]
是	bây	【訓】	https://en.wiktionary.org/wiki/b%C3%A2y#Etymology_2	U+662F	bây giờ
𰠹	bây	【音】	https://vi.wiktionary.org/wiki/b%C3%A2y_b%E1%BA%A9y	U+30839	bây bẩy
其	bấy	【訓】	https://en.wiktionary.org/wiki/b%E1%BA%A5y#Etymology_1	U+5176	bấy giờ, bấy lâu
排	bầy	【非】	https://en.wiktionary.org/wiki/%E6%8E%92#Vietnamese	U+6392	[=bày]
𠍣	bầy	【音】	https://en.wiktionary.org/wiki/b%E1%BA%A7y	U+20363	bầy tôi, bầy sói, bầy cáo
罠	bẫy	【訓】	https://en.wiktionary.org/wiki/b%E1%BA%ABy	U+7F60	sa vào bẫy
七	bảy	【訓】	https://en.wiktionary.org/wiki/b%E1%BA%A3y	U+4E03	bảy mươi, thứ bảy
	bảy	【声】			bóng bảy
七	bẩy	【訓】	https://en.wiktionary.org/wiki/b%E1%BA%A9y#Etymology_2	U+4E03	[=bảy]
𰠹	bẩy	【音】	https://vi.wiktionary.org/wiki/b%C3%A2y_b%E1%BA%A9y	U+30839	bây bẩy
㔥	bẩy	【音】	https://en.wiktionary.org/wiki/b%E1%BA%A9y#Etymology_1	U+3525	bẩy lên, đòn bẩy, xúi bẩy, run lẩy bẩy
𫌶	bậy	【音】	https://en.wiktionary.org/wiki/b%E1%BA%ADy	U+2B336	bậy bạ
𨼚	be	【音】	https://en.wiktionary.org/wiki/be#Etymology_3_4	U+28F1A	xuồng be gần bến
	be	【声】			be be, be bét
䋛	be	【音】	https://en.wiktionary.org/wiki/be#Etymology_2_9	U+42DB	màu be
𣛥	be	【音】	https://en.wiktionary.org/wiki/be#Etymology_1_9	U+236E5	be rượu, be xuồng
𫮦	be	【音】	https://en.wiktionary.org/wiki/be#Etymology_4_3	U+2BBA6	be bờ
庳	bé	【非】	https://en.wiktionary.org/wiki/b%C3%A9#Etymology_4	U+5EB3	bé nhỏ, bé bỏng
簰	bè	【訓】	https://en.wiktionary.org/wiki/b%C3%A8#Etymology_5	U+7C30	bè bạn, bè đảng, tầu bè, thuyền bè, bè nứa
𢯏	bê	【音】	https://en.wiktionary.org/wiki/b%C3%AA#Etymology_2	U+22BCF	bê bối
𤚆	bê	【音】	https://en.wiktionary.org/wiki/b%C3%AA#Etymology_1	U+24686	con bê
	bê	【声】			bê bết
𢜢	bẽ	【音】	https://vi.wiktionary.org/wiki/b%E1%BA%BD	U+22722	bẽ bàng
閉	bế	【汉】		U+9589	phong bế, bế quan, bế mạc
𢲾	bế	【音】	https://en.wiktionary.org/wiki/b%E1%BA%BF	U+22CBE	bồng bế, bế em
表	bề	【訓】	https://en.wiktionary.org/wiki/b%E1%BB%81#Etymology	U+8868	bề mặt, bề ngoài, bộn bề
𠳝	bễ	【音】	https://en.wiktionary.org/wiki/b%E1%BB%85	U+20CDD	thổi bễ, ống bễ, thụt bễ
披	bẻ	【訓】	https://en.wiktionary.org/wiki/b%E1%BA%BB#Etymology_2	U+62AB	bẻ đôi, bắt bẻ
𣷭	bể	【音】	https://en.wiktionary.org/wiki/b%E1%BB%83#Etymology_1	U+23DED	đáy bể
碎	bể	【訓】	https://en.wiktionary.org/wiki/b%E1%BB%83#Etymology_2	U+788E	cái bát bị bể rồi
𬖹	bẹ	【音】	https://en.wiktionary.org/wiki/b%E1%BA%B9#Vietnamese	U+2C5B9	bẹ chuối, bẹ dừa
